Id,Prediction
0,4454463.33319
1,3741774.01453
2,4426592.9785
3,3914825.69456
4,4655136.41004
5,4145486.17384
6,4032986.78001
7,4757776.59084
8,4134894.92733
9,3763610.26557
10,4032758.63885
11,4429158.79983
12,4598431.68909
13,5086476.52182
14,4107979.18959
15,4176259.29045
16,5087902.56118
17,3652464.89602
18,4459600.12185
19,4599548.32821
20,4282074.46385
21,4188037.38616
22,4657695.23202
23,4520767.44881
24,4397322.39948
25,3579077.14683
26,3569829.84161
27,4427485.44272
28,4348065.09352
29,4353269.30021
30,4607703.59846
31,3637035.12279
32,4100761.33998
33,4174927.31842
34,3882342.58249
35,3796445.19644
36,3944805.56672
37,3714522.10246
38,3305114.36107
39,4112123.10227
40,4090424.41469
41,4365054.81278
42,4060961.44836
43,4845965.23573
44,4992632.46137
45,3595466.41797
46,4163793.17649
47,3888137.92637
48,4129320.17663
49,4606167.94799
50,4650543.96912
51,4624494.62748
52,3897510.31018
53,3442064.37876
54,3330271.88677
55,4019504.64508
56,4569684.56652
57,4505610.80055
58,3973789.29529
59,4785016.72298
60,3187161.91529
61,3889192.86086
62,3518057.86548
63,3703756.82358
64,4252616.78351
65,5234347.5491
66,5190955.93308
67,5094511.04689
68,4193298.50588
69,3940603.61328
70,3645825.57382
71,4155552.14488
72,4210288.68667
73,3688530.08777
74,5394812.4282
75,4557901.19459
76,4129515.9835
77,3855057.27117
78,4042388.33151
79,4393172.81378
80,4466047.32122
81,4041334.57933
82,4540271.54407
83,4740097.10532
84,5232630.86052
85,3445962.14512
86,4078338.39337
87,4354018.06286
88,4475219.93545
89,3751624.58973
90,4744311.6439
91,4292842.256
92,3695244.62129
93,5072182.11353
94,4085215.64902
95,4115648.51819
96,4354035.00028
97,3970468.02146
98,3017483.24968
99,3998619.29701
100,3830737.04898
101,3090713.41001
102,3847704.32068
103,4092564.13813
104,3848695.27101
105,3555948.18488
106,5152488.93755
107,4265691.20849
108,4634099.56864
109,4139126.23347
110,4758002.91574
111,4441592.89658
112,4251101.74516
113,4272215.31469
114,3716236.23788
115,4542883.58068
116,3752190.8897
117,4452530.14464
118,3685647.77453
119,4668272.76665
120,4237033.48294
121,5125301.18502
